feature,importance
vote_average,0.6579189524007707
vote_count_log,0.09663393312425926
popularity_log,0.04008228765175968
genre_comedy,0.030113756405906484
runtime,0.021965811289638374
revenue_log,0.014880013475281678
keyword_count,0.013027514947056541
genre_action,0.01190150069622835
release_year,0.01148696309104677
genre_fantasy,0.008450607664138464
language_count,0.00840522799617531
genre_adventure,0.008347293091248697
overview_length,0.007874659155302905
genre_drama,0.007389427449185557
country_count,0.006978594030110334
release_month,0.006966503792788724
budget_log,0.0068213771391311155
genre_animation,0.006467399018840214
tagline_length,0.005545972073858529
genre_count,0.005069208681129203
company_count,0.005006409033294587
genre_science_fiction,0.004503031779618061
genre_family,0.0038990022850316397
genre_thriller,0.003716101851610375
genre_romance,0.0031427115998788847
genre_crime,0.0014772176932921972
genre_mystery,0.0006522832367914282
genre_history,0.0004615831510949576
genre_war,0.0004503099951944715
genre_horror,0.00036434620033655527
genre_music,0.0
genre_western,0.0
original_language_en,0.0
original_language_infrequent_sklearn,0.0
